,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,0.0,366958.0,645308.0,294962.0,399077.0,528837.0,852375.0,474964.0,865014.0,1232354.0,1311134.0,603533.0,386726.0,815732.0,1828357.0,1062737.0,1127791.0,1256401.0,1506173.0,1419480.0,1734540.0,1989468.0,2036051.0,334579.0,3008836.0,3004346.0,3915950.0,3640077.0,2059131.0,3950591.0,3943646.0,3621650.0,3982342.0,2746483.0,3902173.0,3542900.0,1236448.0,887899.0,1346393.0,337851.0,776007.0,433540.0,756068.0,609200.0,739105.0,911571.0,1881355.0,738422.0,307836.0,660217.0,490703.0,1447294.0,951786.0,307997.0,862289.0,838946.0,578976.0,615933.0,1007801.0,1255634.0,1083241.0,1559355.0,1026625.0,1062669.0,1837180.0
1,365611.0,0.0,1003277.0,510851.0,499521.0,886806.0,1210344.0,229898.0,633054.0,1023921.0,1058747.0,395101.0,157786.0,607300.0,1553741.0,830777.0,811637.0,940247.0,1190019.0,1103326.0,1459924.0,1714852.0,1719897.0,692548.0,2692682.0,2688191.0,3630983.0,3323922.0,1742977.0,3665623.0,3658678.0,3305496.0,3697375.0,2461515.0,3611519.0,3252246.0,1602528.0,867903.0,1221767.0,170478.0,1067118.0,317094.0,1122148.0,900312.0,1030217.0,826801.0,1905712.0,1029534.0,665805.0,951329.0,781814.0,1362523.0,923257.0,288000.0,546134.0,978861.0,558979.0,438848.0,830716.0,939479.0,921480.0,1315540.0,763945.0,809714.0,1562564.0
2,645824.0,1005296.0,0.0,833517.0,937633.0,320806.0,308982.0,1113302.0,1452158.0,1770431.0,1934169.0,1150650.0,1025064.0,1353810.0,2306097.0,1649881.0,1766129.0,1894739.0,2185287.0,2057819.0,2212280.0,2467208.0,2640105.0,328928.0,3685935.0,3642684.0,4503094.0,4278415.0,2697469.0,4537734.0,4530789.0,4259988.0,4569486.0,3333627.0,4440250.0,4080977.0,684921.0,873759.0,1413866.0,971796.0,466324.0,975759.0,585454.0,564939.0,440396.0,1042215.0,1728597.0,453820.0,385123.0,203246.0,449961.0,1265981.0,968752.0,855369.0,1500627.0,787822.0,803199.0,1089286.0,1302280.0,1935643.0,1220408.0,1853834.0,1453051.0,1434651.0,2307508.0
3,294895.0,512273.0,834924.0,0.0,103120.0,630689.0,986998.0,550005.0,719448.0,1052269.0,1201459.0,419404.0,414264.0,635648.0,2030873.0,917171.0,1228732.0,1357342.0,1649287.0,1562594.0,1937057.0,2191984.0,2179165.0,565745.0,3151950.0,3147460.0,3770384.0,3631092.0,1997420.0,3805024.0,3798079.0,3612665.0,3836776.0,2600917.0,3722088.0,3362815.0,1196143.0,1111968.0,1570461.0,561920.0,1072229.0,269003.0,715764.0,905422.0,1035327.0,1135640.0,2214550.0,1034644.0,461340.0,951167.0,786925.0,1671362.0,1175855.0,532065.0,1005105.0,1135168.0,803044.0,840001.0,1231869.0,1398748.0,1307310.0,1783424.0,1250694.0,1286737.0,2039697.0
4,398410.0,497220.0,938439.0,102428.0,0.0,734204.0,1090513.0,515007.0,684449.0,1017270.0,1166460.0,384405.0,399129.0,600649.0,2004761.0,882172.0,1193733.0,1322343.0,1614288.0,1527595.0,1910944.0,2165872.0,2144166.0,669260.0,3120995.0,3112461.0,3735385.0,3596093.0,1962421.0,3770025.0,3763080.0,3577666.0,3801777.0,2565918.0,3687089.0,3327816.0,1239126.0,1215483.0,1652997.0,591997.0,1175744.0,234004.0,758746.0,1008937.0,1138842.0,1239155.0,2318065.0,1138159.0,564855.0,1054682.0,890440.0,1774877.0,1279370.0,635580.0,970106.0,1238683.0,907354.0,870078.0,1261946.0,1363749.0,1352710.0,1766560.0,1285464.0,1316814.0,2013584.0
5,527345.0,886817.0,318839.0,629346.0,733462.0,0.0,378499.0,994823.0,1247987.0,1566260.0,1729998.0,946479.0,871049.0,1149639.0,2342332.0,1445710.0,1647650.0,1776260.0,2026033.0,1939340.0,2248515.0,2503443.0,2555910.0,291378.0,3528695.0,3524205.0,4298923.0,4159631.0,2525959.0,4333563.0,4326618.0,4141204.0,4365315.0,3129456.0,4236079.0,3876807.0,693952.0,1051182.0,1559475.0,851827.0,785495.0,771588.0,383418.0,716165.0,759568.0,1219638.0,2047768.0,772991.0,218971.0,462026.0,591673.0,1585153.0,1146175.0,817819.0,1382148.0,990187.0,944911.0,1129909.0,1443991.0,1775493.0,1397831.0,1995546.0,1540601.0,1576363.0,2351156.0
6,849781.0,1209253.0,308948.0,985135.0,1089251.0,378737.0,0.0,1317260.0,1603776.0,1922049.0,2085787.0,1302268.0,1229988.0,1505428.0,2603410.0,1801499.0,1970087.0,2098696.0,2348469.0,2261776.0,2509592.0,2764520.0,2878346.0,569111.0,3851131.0,3846641.0,4654712.0,4482372.0,2881749.0,4689353.0,4682408.0,4463945.0,4721104.0,3485245.0,4591869.0,4232596.0,392820.0,1183157.0,1723264.0,1174263.0,775722.0,1127377.0,397031.0,874338.0,749794.0,1351614.0,2037995.0,763218.0,577252.0,503105.0,747273.0,1575380.0,1278151.0,1095552.0,1704584.0,1097220.0,1100512.0,1386598.0,1599592.0,2097929.0,1529806.0,2151147.0,1750364.0,1731963.0,2604821.0
7,474334.0,259672.0,1112000.0,549334.0,514542.0,995529.0,1319067.0,0.0,394466.0,823189.0,834817.0,249227.0,141467.0,406568.0,1487376.0,592190.0,702669.0,831279.0,1109502.0,1022809.0,1393559.0,1648487.0,1639380.0,801271.0,2612164.0,2607674.0,3407052.0,3243405.0,1634009.0,3441692.0,3434747.0,3224979.0,3473444.0,2237585.0,3372931.0,3013658.0,1711251.0,1078443.0,1381518.0,381018.0,1199364.0,314592.0,1230871.0,1032558.0,1162463.0,986552.0,2065462.0,1161780.0,774528.0,1083575.0,914061.0,1522274.0,1083008.0,498541.0,465617.0,1189401.0,769520.0,598599.0,990467.0,858962.0,1081231.0,1249175.0,768079.0,877591.0,1496199.0
8,863702.0,649040.0,1452526.0,719174.0,684382.0,1248291.0,1604599.0,392036.0,0.0,446514.0,487515.0,372344.0,524112.0,279590.0,1513219.0,200650.0,558834.0,687444.0,1087939.0,999570.0,1381313.0,1674330.0,1617816.0,1183346.0,2422216.0,2417726.0,3056440.0,2917148.0,1283476.0,3091080.0,3084135.0,2898721.0,3122832.0,1886973.0,2981392.0,2622119.0,1905180.0,1467811.0,1697487.0,770386.0,1588732.0,484432.0,1424801.0,1421926.0,1551831.0,1302521.0,2381431.0,1551148.0,1078942.0,1472943.0,1303428.0,1838243.0,1398977.0,887908.0,362125.0,1578769.0,1158887.0,914568.0,1190983.0,869227.0,1397200.0,1462299.0,981204.0,1090716.0,1655832.0
9,1226054.0,1017981.0,1770572.0,1046693.0,1011901.0,1566337.0,1922646.0,821086.0,446263.0,0.0,698521.0,651145.0,851631.0,428415.0,1724225.0,350627.0,769840.0,898450.0,1298945.0,1210577.0,1592319.0,1885336.0,1828822.0,1501393.0,2633222.0,2628732.0,3163010.0,3128154.0,1494483.0,2966896.0,2923357.0,3109727.0,3229402.0,1993543.0,2673624.0,2314351.0,2223227.0,1836752.0,2202690.0,1139327.0,1951084.0,802478.0,1742848.0,1784278.0,1914183.0,1807724.0,2886634.0,1913499.0,1396988.0,1835295.0,1665780.0,2343446.0,1904179.0,1256849.0,761663.0,1947710.0,1527828.0,1419771.0,1634654.0,1080233.0,1902403.0,1905971.0,1424875.0,1534387.0,1866838.0
